GENE_NAME,V888,V108,V2089,V1279,V1090,V777,N85,V839,V1565,V637,V1505,V1834,V67,V1441,V1920,V1857,V630,V456,N84,N60,V1394,V1048,V18,N83,V538,V1742,V1884,V1297,V125,V1921,V1776,V1860,V940,N82,V148,V1456,V2092,V714,V1337,V553,V406,V1788,V2133,V1874,V221,N58,V1591,V2110,V574,V716,N70,V1321,V1800,V806,V513,V1592,V1528,V1823,V344,V1708,V359,V712,V883,V655,V1699,V624
MIR4292,59,12,42,21,36,6,32,32,32,11,22,20,27,33,20,14,50,10,21,21,18,40,52,30,25,42,31,19,41,17,22,28,48,7,34,34,18,12,21,43,46,32,2,17,12,31,43,14,34,21,21,28,30,42,21,20,12,18,34,23,45,11,40,14,57,34
MIR3117,0,0,0,3,5,7,2,1,0,0,1,2,1,1,17,6,1,10,2,3,0,0,0,3,1,0,1,0,0,3,6,0,2,12,8,2,0,2,0,0,0,0,0,3,2,0,0,0,4,4,0,3,0,2,0,13,3,0,0,3,1,0,0,2,0,2
MIR5192,94,52,77,39,39,41,61,88,23,20,36,38,34,55,35,21,59,51,36,72,24,51,82,75,102,77,148,60,56,95,41,70,44,68,66,56,32,32,63,97,135,68,13,25,33,30,39,63,64,61,69,32,31,43,74,30,65,31,63,28,75,30,51,40,82,52
MIR4697,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
MIR3122,12,2,3,5,6,1,18,4,12,1,12,5,6,2,4,7,9,0,17,3,3,4,3,18,4,6,9,1,2,3,13,6,5,12,3,10,3,3,9,0,2,8,1,2,4,3,13,2,19,7,3,3,2,7,8,5,8,2,3,7,4,3,8,2,7,10
MIR4732,1,0,1,1,1,0,0,1,1,0,1,1,2,1,0,1,1,2,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,3,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1
MIR1299,28,121,41,62,55,74,15,15,14,6,35,30,52,39,88,16,32,21,53,49,14,14,87,49,28,58,17,51,27,69,43,25,22,19,42,39,11,36,58,8,35,42,2,79,38,22,21,12,18,63,40,49,29,38,30,75,10,20,35,58,34,52,28,21,23,36
MIR4297,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,2,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2
MIR191,37,12,12,20,8,11,14,15,32,5,11,8,27,11,19,4,11,1,14,83,7,14,12,12,9,34,25,4,21,12,11,27,15,13,43,6,23,47,25,167,48,28,32,11,7,13,4,23,5,42,43,3,13,6,34,5,25,6,41,5,24,84,14,25,56,7
MIR3614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
MIR296,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,1,5,0,0,1,0,1,1,0,0,1,2,0,1,0,1,0,1,3,3,0,1,0,0,4,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,1,3,1,1,2,0
MIR3648-1,72814,24810,88313,41432,25932,41459,93587,28450,7789,227527,16103,28160,118486,48596,35030,15534,30154,36619,34766,91775,33061,19041,63755,41574,42206,144309,55145,36012,87388,40843,23860,18828,8823,101407,85415,16160,45723,48369,21702,67813,72724,46958,43942,31110,7926,57120,46718,19320,22696,49597,58759,107952,79700,16632,30802,36134,21112,9367,82739,28537,199115,23629,6494,67532,28576,22603
MIR4430,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR3127,3,4,2,4,0,4,1,1,2,1,0,2,1,3,12,1,1,4,0,7,1,5,3,5,2,3,3,4,2,0,2,5,5,2,5,3,2,6,2,4,4,1,2,5,4,3,1,1,2,3,5,6,2,4,2,4,6,0,6,11,3,7,2,6,2,2
MIR4533,0,0,0,0,4,3,0,0,0,1,1,2,1,1,0,1,0,0,0,4,0,0,0,2,0,0,3,5,0,0,4,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,4,1,3,0,0,0,5,6,1,0,6,2,0,6,2,9,2,0,4
MIR569,3,0,2,4,7,10,5,4,8,1,16,10,6,0,9,5,4,6,4,5,4,7,10,3,6,6,7,2,2,6,5,4,3,3,3,5,1,8,1,4,8,3,0,9,0,4,5,4,14,5,3,7,4,8,5,9,2,4,2,5,3,4,9,2,3,3
MIR4454,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,1,0,0,1,1,1,0,0,0,0,2,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MIR1250,4,1,0,5,9,5,0,5,6,4,0,16,2,5,13,2,8,10,3,5,2,2,4,3,14,1,6,12,3,0,9,0,8,3,4,5,0,1,2,8,5,6,0,6,25,9,2,0,3,4,7,10,8,4,4,13,1,1,3,19,10,6,3,4,3,3
MIR4464,2,0,2,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0,2,1,0,0,0,5,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0
MIR130B,1,2,1,2,1,0,1,1,2,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,0,2,1,2,1,1,1,1,3,2,0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1
MIR7112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
MIR4787,22,11,1,28,81,71,2,5,0,46,17,4,8,6,245,1,13,38,14,66,0,1,7,34,5,5,19,2,19,3,19,24,6,15,5,10,18,90,3,28,14,12,9,64,11,32,5,29,11,98,54,16,19,11,26,77,9,23,16,1,26,23,23,19,18,8
MIR4786,3,15,2,10,6,5,4,2,1,3,4,9,3,7,18,2,5,6,3,7,4,7,6,3,1,3,11,4,4,3,5,9,11,4,5,4,2,5,4,19,8,3,5,9,13,9,8,4,6,11,8,8,9,3,6,18,1,0,4,7,8,9,4,11,10,0
